name,extId,x,y,category,puic,prodclass,x_real,y2,join_id,join_name,isInAustria
Klosterneuburg Küffnergasse,5682,0,0,0,0,0,16.309219,48.306925,0,0,1
Kierling Falbgasse,5676,0,0,0,0,0,16.279546,48.308938,0,0,1
Klosterneuburg Lorenz-Böhler-Weg,5679,0,0,0,0,0,16.295349,48.305459,0,0,1
Klosterneuburg Marienheim,5680,0,0,0,0,0,16.299016,48.306152,0,0,1
Klosterneuburg Karl-Domanig-Gasse,5683,0,0,0,0,0,16.320051,48.307194,0,0,1
Klosterneuburg Fellergraben,5681,0,0,0,0,0,16.304482,48.306997,0,0,1
Kierling Lenaugasse,5673,0,0,0,0,0,16.26706,48.308507,0,0,1
Wien Am Spitz (Floridsdorfer Hauptstraße),6032,0,0,0,0,0,16.400019,48.261646,0,0,1
Wien Skodagasse (Alser Straße),6691,0,0,0,0,0,16.34887,48.215037,0,0,1
Wien Brünnlbadgasse,6692,0,0,0,0,0,16.345715,48.215415,0,0,1
Wien Himmelmutterweg,6701,0,0,0,0,0,16.295807,48.230678,0,0,1
Wien Alser Straße (Unterführung Lazarettgasse),6693,0,0,0,0,0,16.351774,48.219001,0,0,1
Wien Palffygasse,6694,0,0,0,0,0,16.336735,48.217626,0,0,1
Wien Elterleinplatz (Mitte),6695,0,0,0,0,0,16.331485,48.218102,0,0,1
Wien Schottentor (Straßenbahnschleife),6688,0,0,0,0,0,16.362102,48.214201,0,0,1
Wien Landesgerichtsstraße,6689,0,0,0,0,0,16.356961,48.214507,0,0,1
Wien Neuwaldegg (Rudolf-Kirchschläger-Platz),6702,0,0,0,0,0,16.288004,48.236836,0,0,1
Wien Lange Gasse,6690,0,0,0,0,0,16.350947,48.214992,0,0,1
Wien Rosensteingasse (Hernalser Hauptstraße),6696,0,0,0,0,0,16.326658,48.219316,0,0,1
Wien Hernals Wattgasse (Kreuzungsplateau),6697,0,0,0,0,0,16.321345,48.221545,0,0,1
Wien Elterleinplatz (Jörgerstraße),6703,0,0,0,0,0,16.331485,48.218102,0,0,1
Wien Hernals Bahnhst (Hernalser Hauptstraße),6698,0,0,0,0,0,16.315359,48.223577,0,0,1
Wien Dornbach (Hernalser Hauptstraße),6699,0,0,0,0,0,16.301875,48.228161,0,0,1
Wien Dornbacher Straße,6700,0,0,0,0,0,16.301875,48.228161,0,0,1
